column,category,n,q1,q3,iqr,lower_fence,upper_fence,outlier_count,outlier_pct
cells_allocated,dp_metric,18000,1001.000000,43248.000000,42247.000000,-62369.500000,106618.500000,3000,16.67
exclude_count,dp_metric,18000,35973.000000,2407315.000000,2371342.000000,-3521040.000000,5964328.000000,3000,16.67
first_skipped_position,greedy_metric,18000,9.000000,89.000000,80.000000,-111.000000,209.000000,3000,16.67
include_count,dp_metric,18000,12573.000000,4774819.000000,4762246.000000,-7130796.000000,11918188.000000,3000,16.67
min_bound,bb_metric,18000,1610.085500,48651.274400,47041.188900,-68951.697850,119213.057750,3000,16.67
nonzero_value_states,dp_metric,18000,996.000000,43247.000000,42251.000000,-62380.500000,106623.500000,3000,16.67
selected_count,greedy_metric,18000,11.000000,93.000000,82.000000,-112.000000,216.000000,3000,16.67
total_evaluations,dp_metric,18000,57705.000000,8563105.000000,8505400.000000,-12700395.000000,21321205.000000,3000,16.67
updates_per_cell,dp_metric,18000,11.274725,97.779153,86.504428,-118.481917,227.535795,3000,16.67
mean_bound,bb_metric,18000,1672.069500,48886.539200,47214.469700,-69149.635050,119708.243750,2997,16.65
solution_value,benchmark_outcome,18000,1659.000000,48940.000000,47281.000000,-69262.500000,119861.500000,2996,16.64
max_bound,bb_metric,18000,1686.605300,48971.382200,47284.776900,-69240.560050,119898.547550,2994,16.63
sum_improvement_amount,bb_metric,18000,1665.000000,48967.000000,47302.000000,-69288.000000,119920.000000,2994,16.63
bound_variance,bb_metric,18000,3.411000,10153.823000,10150.412000,-15222.207000,25379.441000,2964,16.47
time_nanos,benchmark_outcome,18000,24183.000000,519966.000000,495783.000000,-719491.500000,1263640.500000,2917,16.21
time_millis,benchmark_outcome,18000,0.024000,0.520000,0.496000,-0.720000,1.264000,2916,16.20
mean_bound_gap,bb_metric,18000,45.088400,1512.579200,1467.490800,-2156.147800,3713.815400,2907,16.15
skipped_by_bound,bb_metric,18000,5.000000,82.000000,77.000000,-110.500000,197.500000,2811,15.62
mean_queue_size,bb_metric,18000,14.343900,198.855800,184.511900,-262.423950,475.623650,2709,15.05
last_improvement_node,bb_metric,18000,35.000000,775.000000,740.000000,-1075.000000,1885.000000,2706,15.03
mean_cell_value,dp_metric,18000,912.444600,27559.949200,26647.504600,-39058.812300,67531.206100,2697,14.98
avg_branching_factor,bb_metric,18000,0.993865,0.999581,0.005716,0.985291,1.008155,2673,14.85
left_branches,bb_metric,18000,26.000000,373.000000,347.000000,-494.500000,893.500000,2649,14.72
last_selected_position,greedy_metric,18000,16.000000,188.000000,172.000000,-242.000000,446.000000,2547,14.15
median_depth,bb_metric,18000,20.000000,157.000000,137.000000,-185.500000,362.500000,2232,12.40
fill_rate,dp_metric,18000,0.993007,0.999864,0.006857,0.982722,1.010150,2226,12.37
std_ratio,instance_characteristic,18000,0.062712,10.511684,10.448972,-15.610746,26.185142,2202,12.23
min_value,instance_characteristic,18000,1.000000,14.000000,13.000000,-18.500000,33.500000,2118,11.77
min_weight,instance_characteristic,18000,2.000000,15.000000,13.000000,-17.500000,34.500000,2106,11.70
zero_value_states,dp_metric,18000,2.000000,15.000000,13.000000,-17.500000,34.500000,2106,11.70
max_weight,instance_characteristic,18000,986.000000,999.000000,13.000000,966.500000,1018.500000,2076,11.53
capacity_utilization,greedy_metric,18000,0.977000,0.999446,0.022446,0.943331,1.033115,2010,11.17
residual_capacity,greedy_metric,18000,5.000000,78.000000,73.000000,-104.500000,187.500000,1935,10.75
weight_kurtosis,instance_characteristic,18000,-1.241119,-1.116939,0.124181,-1.427391,-0.930668,1884,10.47
weight_cv,instance_characteristic,18000,0.553364,0.594892,0.041527,0.491073,0.657183,1824,10.13
mean_weight,instance_characteristic,18000,486.028000,515.475000,29.447000,441.857500,559.645500,1758,9.77
value_cv,instance_characteristic,18000,0.554123,0.597199,0.043076,0.489509,0.661812,1728,9.60
value_kurtosis,instance_characteristic,18000,-1.226945,-1.091593,0.135352,-1.429973,-0.888565,1722,9.57
value_skewness,instance_characteristic,18000,-0.064205,0.084726,0.148932,-0.287603,0.308123,1704,9.47
mean_value,instance_characteristic,18000,486.880000,517.200000,30.320000,441.400000,562.680000,1698,9.43
median_value,instance_characteristic,18000,474.500000,526.000000,51.500000,397.250000,603.250000,1668,9.27
weight_skewness,instance_characteristic,18000,-0.073989,0.075219,0.149208,-0.297801,0.299031,1662,9.23
std_value,instance_characteristic,18000,280.964770,295.073642,14.108872,259.801462,316.236949,1614,8.97
mean_depth,bb_metric,18000,21.263200,174.882000,153.618800,-209.165000,405.310200,1602,8.90
std_weight,instance_characteristic,18000,279.725977,293.557858,13.831881,258.978156,314.305679,1602,8.90
median_weight,instance_characteristic,18000,474.500000,526.000000,51.500000,397.250000,603.250000,1470,8.17
duplicate_ratio_fraction,instance_characteristic,18000,0.000000,0.052000,0.052000,-0.078000,0.130000,1386,7.70
mean_ratio,instance_characteristic,18000,1.013199,3.509729,2.496530,-2.731596,7.254524,1170,6.50
max_value,instance_characteristic,18000,993.000000,1046.000000,53.000000,913.500000,1125.500000,528,2.93
capacity_density,dp_metric,18000,10.000000,250.215000,240.215000,-350.322500,610.537500,0,0.00
capacity_ratio,instance_characteristic,18000,0.017294,0.499999,0.482705,-0.706765,1.224057,0,0.00
dp_mean_improvement_amount,dp_metric,18000,102.613100,429.220400,326.607300,-387.297850,919.131350,0,0.00
include_ratio,dp_metric,18000,0.201718,0.627762,0.426044,-0.437348,1.266828,0,0.00
instance_id,identifier,18000,750.000000,2250.000000,1500.000000,-1500.000000,4500.000000,0,0.00
kendall_corr,instance_characteristic,18000,-0.032128,0.943744,0.975872,-1.495936,2.407552,0,0.00
max_depth,bb_metric,18000,48.000000,438.000000,390.000000,-537.000000,1023.000000,0,0.00
mean_improvement_amount,bb_metric,18000,211.400000,642.685000,431.285000,-435.527500,1289.612500,0,0.00
n,identifier,18000,50.000000,500.000000,450.000000,-625.000000,1175.000000,0,0.00
pearson_corr,instance_characteristic,18000,-0.051208,0.994073,1.045282,-1.619131,2.561996,0,0.00
pruned_generated_ratio,bb_metric,18000,0.016570,0.215415,0.198845,-0.281698,0.513683,0,0.00
ratio_entropy,instance_characteristic,18000,0.278987,2.004446,1.725458,-2.309201,4.592633,0,0.00
slack,instance_characteristic,18000,16091.000000,226066.000000,209975.000000,-298871.500000,541028.500000,0,0.00
solution_density,greedy_metric,18000,0.085000,0.620000,0.535000,-0.717500,1.422500,0,0.00
spearman_corr,instance_characteristic,18000,-0.050139,0.994148,1.044287,-1.616569,2.560578,0,0.00
total_value,instance_characteristic,18000,25084.000000,251021.000000,225937.000000,-313821.500000,589926.500000,0,0.00
total_weight,instance_characteristic,18000,24897.000000,250421.000000,225524.000000,-313389.000000,588707.000000,0,0.00
unique_pairs,instance_characteristic,18000,50.000000,496.000000,446.000000,-619.000000,1165.000000,0,0.00
unique_ratio_count,instance_characteristic,18000,50.000000,472.000000,422.000000,-583.000000,1105.000000,0,0.00
unique_values,instance_characteristic,18000,49.000000,393.000000,344.000000,-467.000000,909.000000,0,0.00
unique_weights,instance_characteristic,18000,49.000000,393.000000,344.000000,-467.000000,909.000000,0,0.00
