column,category,n,mean,std,min,p25,p50,p75,max,skew,kurtosis,n_nonzero,n_zero
total_evaluations,dp_metric,18000,27173140.100333,69239149.918196,5692.000000,57705.000000,410209.000000,8563105.000000,265279379.000000,2.737956,5.943111,18000,0
total_value,instance_characteristic,18000,156353.205667,173848.312724,5579.000000,25084.000000,89440.000000,251021.000000,525803.000000,1.120121,-0.218551,18000,0
total_weight,instance_characteristic,18000,155997.329667,173487.830615,5519.000000,24897.000000,86495.000000,250421.000000,531621.000000,1.119892,-0.219658,18000,0
unique_pairs,instance_characteristic,18000,291.976000,321.346383,18.000000,50.000000,172.000000,496.000000,1000.000000,1.188579,0.086187,18000,0
unique_ratio_count,instance_characteristic,18000,284.077333,309.051147,18.000000,50.000000,172.000000,472.000000,1000.000000,1.169742,0.059832,18000,0
unique_values,instance_characteristic,18000,228.558000,218.931055,18.000000,49.000000,169.000000,393.000000,662.000000,0.853408,-0.745204,18000,0
unique_weights,instance_characteristic,18000,228.419000,218.279099,18.000000,49.000000,169.000000,393.000000,673.000000,0.848161,-0.754836,18000,0
updates_per_cell,dp_metric,18000,104.208863,174.449924,2.136863,11.274725,28.636364,97.779153,709.527954,2.186498,3.646657,18000,0
value_cv,instance_characteristic,18000,0.575598,0.052917,0.303172,0.554123,0.576529,0.597199,1.006427,0.359290,6.403817,18000,0
value_kurtosis,instance_characteristic,18000,-1.139867,0.188386,-1.729527,-1.226945,-1.169039,-1.091593,1.031391,2.662462,16.380784,18000,0
value_skewness,instance_characteristic,18000,0.010635,0.183435,-1.108433,-0.064205,0.010227,0.084726,1.204912,-0.073634,5.376467,18000,0
weight_cv,instance_characteristic,18000,0.573943,0.051288,0.272297,0.553364,0.575331,0.594892,0.983003,0.222073,6.193873,18000,0
weight_kurtosis,instance_characteristic,18000,-1.156137,0.188883,-1.729527,-1.241119,-1.187951,-1.116939,1.059894,2.968277,18.472207,18000,0
weight_skewness,instance_characteristic,18000,0.001065,0.184243,-1.204912,-0.073989,0.000456,0.075219,1.149378,-0.073547,5.457845,18000,0
zero_value_states,dp_metric,18000,14.347667,25.461058,1.000000,2.000000,5.000000,15.000000,348.000000,4.279454,28.057367,18000,0
