,average_fillable_items,avg_branching_factor,bound_gap_variance,bound_variance,capacity_density,capacity_ratio,capacity_utilization,cell_value_variance,cells_allocated,dp_mean_improvement_amount,dp_sum_improvement_amount,duplicate_items,duplicate_pairs,duplicate_ratio_fraction,exclude_count,explored_children,explored_generated_ratio,fill_rate,final_queue_size,first_improvement_node,first_skipped_position,improvement_count,include_count,include_ratio,internal_nodes,kendall_corr,last_improvement_node,last_selected_position,leaf_nodes,left_branches,max_bound,max_depth,max_queue_size,max_value,max_weight,mean_bound,mean_bound_gap,mean_cell_value,mean_depth,mean_improvement_amount,mean_queue_size,mean_ratio,mean_value,mean_weight,median_depth,median_ratio,median_value,median_weight,memory_bytes,memory_mb,min_bound,min_depth,min_value,min_weight,nodes_explored,nodes_generated,nodes_pruned,nonzero_value_states,pearson_corr,pruned_by_bound,pruned_by_cap,pruned_generated_ratio,ratio_entropy,residual_capacity,right_branches,selected_count,skipped_by_bound,skipped_by_cap,skipped_children,skipped_infeasible,slack,solution_density,solution_value,spearman_corr,std_ratio,std_value,std_weight,sum_improvement_amount,tie_count,time_millis,time_nanos,total_evaluations,total_value,total_weight,unique_pairs,unique_ratio_count,unique_values,unique_weights,updates_per_cell,value_cv,value_kurtosis,value_skewness,weight_cv,weight_kurtosis,weight_skewness,zero_value_states
dp_sum_improvement_amount,0.874904,0.316845,0.609387,0.032383,0.351428,0.353042,0.181714,0.981246,0.874910,0.191346,1.000000,0.471658,0.473232,0.439645,0.855602,0.520632,-0.385476,0.148381,0.308090,,0.914113,0.900792,0.936755,0.329525,0.521990,-0.151906,0.176414,0.719477,,0.318132,0.953562,0.607203,0.182603,0.087209,0.172099,0.953586,0.546894,0.964004,0.768637,0.162501,0.318509,0.088422,-0.001873,0.002080,0.788026,-0.020655,0.004541,0.004316,0.175557,0.175557,0.953751,,-0.159157,-0.172302,0.297065,0.520632,0.043995,0.874901,-0.152155,0.075499,0.508747,0.115865,-0.210648,0.171090,0.522169,0.913515,0.083121,,0.512220,0.512488,0.252993,0.364944,0.953556,-0.151629,0.167711,0.044388,0.056228,0.953558,0.314603,0.293952,0.293952,0.907065,0.572017,0.572953,0.517626,0.526378,0.549878,0.550294,0.908519,0.011575,-0.077841,-0.008286,0.016931,-0.074427,-0.002871,-0.172302
duplicate_items,0.271309,0.253643,-0.028198,-0.094507,-0.015870,-0.016263,0.061454,0.389755,0.271298,0.288204,0.471658,1.000000,0.997489,0.917823,0.238239,0.487274,-0.328149,0.105420,0.245919,,0.361583,0.350074,0.343132,-0.037686,0.498759,-0.396416,0.037411,0.210787,,0.241420,0.421349,0.542463,0.137696,-0.045553,0.140128,0.420873,-0.052344,0.488360,0.455946,0.289586,0.241994,0.231675,-0.004635,0.001167,0.421626,-0.013722,0.003478,0.002817,0.145686,0.145686,0.420869,,-0.128558,-0.139402,0.281951,0.487274,-0.002273,0.271326,-0.395145,-0.003953,0.457176,-0.217299,-0.257754,0.207449,0.498395,0.358940,0.125954,,0.501742,0.501445,0.413754,0.014372,0.420759,-0.394984,0.326426,0.022473,0.043716,0.420741,0.045451,0.262481,0.262481,0.302113,0.451963,0.452992,0.276261,0.286457,0.434899,0.436060,0.344026,0.003498,-0.082274,-0.014500,0.013138,-0.060629,-0.002099,-0.139402
duplicate_pairs,0.282776,0.259742,-0.029449,-0.100295,-0.017005,-0.017435,0.066882,0.394256,0.282767,0.288234,0.473232,0.997489,1.000000,0.934771,0.246996,0.499915,-0.332796,0.113054,0.249483,,0.374781,0.363953,0.352480,-0.041895,0.512087,-0.400960,0.058517,0.219978,,0.245818,0.429443,0.564619,0.140154,-0.044092,0.150258,0.428962,-0.054145,0.494179,0.479860,0.289007,0.246502,0.233997,-0.003944,0.001347,0.444877,-0.014015,0.004490,0.002994,0.149377,0.149377,0.428965,,-0.136713,-0.149403,0.289653,0.499915,-0.001373,0.282797,-0.400134,-0.002454,0.469404,-0.226655,-0.271745,0.210182,0.511645,0.372067,0.135246,,0.515609,0.515230,0.431245,0.013847,0.428846,-0.399935,0.329709,0.024431,0.046970,0.428827,0.072763,0.270305,0.270305,0.311946,0.471274,0.472143,0.297441,0.306504,0.455829,0.456973,0.356621,0.003154,-0.087638,-0.015000,0.014049,-0.064967,-0.002403,-0.149403
duplicate_ratio_fraction,0.318929,0.285521,-0.043883,-0.142836,-0.026177,-0.025578,0.104377,0.380361,0.318750,0.259158,0.439645,0.917823,0.934771,1.000000,0.273418,0.503756,-0.334413,0.174766,0.257110,,0.402955,0.395968,0.360771,-0.083914,0.513958,-0.399422,0.109994,0.257426,,0.261990,0.434377,0.608765,0.149097,0.036347,0.222175,0.433889,-0.063574,0.482002,0.540259,0.266839,0.262459,0.233377,-0.010812,-0.012288,0.504642,-0.007986,0.001145,-0.009018,0.160402,0.160402,0.434016,,-0.201704,-0.229063,0.291829,0.503756,0.013702,0.318805,-0.400507,0.023181,0.467390,-0.248592,-0.222926,0.211106,0.513121,0.400909,0.169960,,0.515058,0.514241,0.486122,-0.003161,0.433778,-0.399923,0.325234,0.048937,0.077291,0.433743,0.166806,0.276623,0.276623,0.329668,0.531738,0.532223,0.379428,0.380586,0.532986,0.533225,0.385811,0.017823,-0.113416,-0.005161,0.037995,-0.095432,0.005393,-0.229063
exclude_count,0.951126,0.280603,0.630076,-0.036037,0.379726,0.381310,0.201500,0.931537,0.951331,0.082404,0.855602,0.238239,0.246996,0.273418,1.000000,0.394982,-0.292262,0.162042,0.259355,,0.918741,0.913351,0.967907,0.306890,0.387167,0.034387,0.287501,0.794380,,0.291545,0.889071,0.615071,0.167865,0.234060,0.188058,0.889189,0.607097,0.810801,0.761766,0.121548,0.292836,-0.025696,0.001066,0.003244,0.788134,-0.023650,0.005378,0.005671,0.157313,0.157313,0.889700,,-0.172833,-0.188613,0.223821,0.394982,0.094918,0.951322,0.035781,0.163042,0.369948,0.231769,-0.109117,0.006032,0.387520,0.920177,0.042541,,0.369255,0.369667,0.279992,0.338542,0.889177,0.036591,0.025073,0.062084,0.061645,0.889176,0.541112,0.230829,0.230829,0.986864,0.626453,0.627023,0.625277,0.624239,0.603614,0.602653,0.934491,0.018721,-0.062939,0.002840,0.017722,-0.080814,-0.004316,-0.188613
explored_children,0.459605,0.596188,-0.049533,-0.101572,0.178941,0.179487,0.089703,0.481957,0.459738,0.125209,0.520632,0.487274,0.499915,0.503756,0.394982,1.000000,-0.768448,0.084254,0.665899,,0.523538,0.529280,0.497364,0.182615,0.991824,-0.152920,0.531882,0.348864,,0.675180,0.505943,0.374124,0.386176,-0.012115,0.099961,0.505878,-0.068614,0.527527,0.538141,0.080216,0.679355,0.091751,0.003825,0.002561,0.518013,-0.012623,0.003476,0.004818,0.381679,0.381680,0.506604,,-0.085443,-0.100037,0.560490,1.000000,0.066930,0.459737,-0.155347,0.115144,0.968489,-0.179486,-0.158809,0.346972,0.991928,0.521591,0.178504,,0.960256,0.960475,0.160231,0.217871,0.505729,-0.155110,0.140202,0.015380,0.030523,0.505722,0.401732,0.564868,0.564868,0.466207,0.324174,0.323479,0.245290,0.243143,0.313463,0.314443,0.498292,-0.003552,-0.054674,-0.006891,0.007478,-0.041262,-0.003024,-0.100037
explored_generated_ratio,-0.316005,-0.846899,0.031459,0.065103,-0.126297,-0.127131,-0.061711,-0.349817,-0.315507,-0.097049,-0.385476,-0.328149,-0.332796,-0.334413,-0.292262,-0.768448,1.000000,-0.054071,-0.978330,,-0.349399,-0.343032,-0.337401,-0.128038,-0.687674,0.120389,-0.151895,-0.246171,,-0.945180,-0.363607,-0.210176,-0.543437,-0.021065,-0.063725,-0.363592,0.043180,-0.389070,-0.340904,-0.062722,-0.946233,-0.072534,0.003318,0.001047,-0.330399,0.009597,0.002075,-0.001100,-0.540539,-0.540539,-0.364122,,0.058708,0.064215,-0.387200,-0.768448,-0.029070,-0.315504,0.120171,-0.050706,-0.707739,0.119301,0.053022,-0.287450,-0.688960,-0.348226,-0.018345,,-0.574980,-0.576226,-0.092972,-0.148294,-0.363470,0.120029,-0.107941,-0.011026,-0.019333,-0.363447,-0.147008,-0.440339,-0.440339,-0.321730,-0.207841,-0.208043,-0.155142,-0.154998,-0.202160,-0.202523,-0.335739,-0.003176,0.028448,0.001652,-0.006981,0.024557,0.002100,0.064215
fill_rate,0.218466,0.156551,0.101500,0.028325,0.259794,0.266603,0.377506,0.158611,0.218197,0.062835,0.148381,0.105420,0.113054,0.174766,0.162042,0.084254,-0.054071,1.000000,0.044918,,0.224846,0.226726,0.162742,0.092585,0.084999,-0.028723,0.051080,0.241801,,0.049656,0.216995,0.271066,0.028333,0.259174,0.285392,0.216998,0.133474,0.203267,0.257248,0.057148,0.049846,0.116214,-0.093604,-0.162955,0.255552,0.020195,-0.047724,-0.107823,0.030446,0.030446,0.216767,,-0.562757,-0.773009,0.049119,0.084254,0.010978,0.218451,-0.029493,0.018609,0.076126,0.163054,-0.251554,0.007356,0.084817,0.226222,0.031827,,0.084040,0.083855,0.237149,0.231784,0.217071,-0.028196,0.147520,0.246716,0.310764,0.217064,0.094288,0.048782,0.048782,0.163744,0.286355,0.285811,0.286940,0.289044,0.315689,0.316349,0.228710,0.194878,-0.102997,0.002521,0.292033,-0.120433,0.004310,-0.773009
final_queue_size,0.267441,0.861435,-0.026129,-0.054128,0.104955,0.105801,0.051815,0.287465,0.266790,0.071365,0.308090,0.245919,0.249483,0.257110,0.259355,0.665899,-0.978330,0.044918,1.000000,,0.287079,0.281246,0.281601,0.101349,0.571020,-0.083214,0.118030,0.208288,,0.963870,0.294969,0.170067,0.554352,0.033035,0.052966,0.294965,-0.035826,0.308324,0.278191,0.049395,0.963199,0.049881,-0.004197,-0.001844,0.269822,-0.008091,-0.002930,-0.000145,0.546758,0.546758,0.295403,,-0.049270,-0.053596,0.321584,0.665899,0.025701,0.266788,-0.082973,0.044821,0.587804,-0.099037,-0.020686,0.212210,0.572124,0.286221,0.012114,,0.443823,0.444810,0.079281,0.117574,0.294867,-0.082833,0.076490,0.010302,0.016583,0.294841,0.133247,0.381806,0.381806,0.274599,0.176173,0.176466,0.138675,0.137356,0.171160,0.171398,0.277735,0.004532,-0.021100,0.000282,0.006952,-0.020223,-0.001577,-0.053596
first_improvement_node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_skipped_position,0.985895,0.323952,0.571632,-0.000333,0.490012,0.493028,0.261889,0.947700,0.985411,0.174101,0.914113,0.361583,0.374781,0.402955,0.918741,0.523538,-0.349399,0.224846,0.287079,,1.000000,0.998042,0.964618,0.426493,0.527334,-0.068331,0.338213,0.791544,,0.307190,0.978243,0.673352,0.176336,0.162075,0.238151,0.978331,0.563451,0.934535,0.855861,0.172959,0.308645,0.038182,0.002994,-0.004140,0.876937,-0.019559,0.010647,-0.000389,0.174850,0.174850,0.978611,,-0.214768,-0.240284,0.302676,0.523538,0.061581,0.985418,-0.070592,0.104908,0.501639,0.181625,-0.242430,0.125602,0.527269,0.999938,0.105378,,0.520397,0.520406,0.262696,0.482673,0.978321,-0.069673,0.111667,0.064789,0.079265,0.978324,0.557141,0.300673,0.300673,0.954896,0.627340,0.627047,0.599808,0.602213,0.622686,0.622965,0.997843,0.013555,-0.100545,-0.006738,0.029820,-0.102973,0.002095,-0.240284
improvement_count,0.984110,0.320712,0.558134,-0.011867,0.493032,0.495997,0.265395,0.937334,0.983654,0.157318,0.900792,0.350074,0.363953,0.395968,0.913351,0.529280,-0.343032,0.226726,0.281246,,0.998042,1.000000,0.960019,0.427112,0.534753,-0.047165,0.370999,0.788510,,0.300857,0.968404,0.673300,0.172672,0.161758,0.238762,0.968509,0.549164,0.920628,0.860042,0.155337,0.302625,0.025702,0.005327,-0.003819,0.880271,-0.019549,0.012205,-0.000044,0.172030,0.172030,0.968848,,-0.214030,-0.241470,0.306657,0.529280,0.060181,0.983661,-0.050204,0.102229,0.506955,0.169695,-0.242355,0.119051,0.534720,0.998039,0.103962,,0.529680,0.529731,0.260658,0.485361,0.968496,-0.049263,0.097463,0.064655,0.079357,0.968501,0.582984,0.303441,0.303441,0.950790,0.625122,0.624640,0.599628,0.601095,0.621042,0.621289,0.995166,0.011468,-0.101201,-0.007263,0.029485,-0.103336,0.001771,-0.241470
include_count,0.959881,0.300023,0.612642,-0.015825,0.385383,0.387149,0.201291,0.979474,0.959910,0.119922,0.936755,0.343132,0.352480,0.360771,0.967907,0.497364,-0.337401,0.162742,0.281601,,0.964618,0.960019,1.000000,0.335276,0.498712,-0.029562,0.338747,0.789596,,0.302411,0.943034,0.653139,0.174028,0.161229,0.188594,0.943125,0.570241,0.893539,0.823203,0.129568,0.304077,0.014448,0.002066,0.002301,0.844406,-0.021812,0.006768,0.004923,0.167615,0.167615,0.943556,,-0.170767,-0.189086,0.285937,0.497364,0.068967,0.959900,-0.030350,0.118030,0.480081,0.158413,-0.178405,0.077362,0.499090,0.964959,0.061485,,0.489441,0.489923,0.277719,0.371955,0.943100,-0.029623,0.076627,0.054722,0.062023,0.943102,0.565085,0.284842,0.284842,0.995347,0.628504,0.628738,0.605022,0.605856,0.604419,0.604187,0.967638,0.013260,-0.075008,-0.003100,0.018739,-0.081303,-0.003427,-0.189086
include_ratio,0.448439,0.076949,0.204207,0.322423,0.899993,0.907824,0.027567,0.332953,0.448030,0.420511,0.329525,-0.037686,-0.041895,-0.083914,0.306890,0.182615,-0.128038,0.092585,0.101349,,0.426493,0.427112,0.335276,1.000000,0.184331,-0.161811,0.105206,0.134029,,0.106901,0.430087,-0.121371,0.061007,-0.255884,-0.171792,0.430124,0.264760,0.417521,0.115126,0.326194,0.106730,0.130311,-0.005551,-0.020523,0.152755,0.045320,-0.005205,-0.010629,0.061107,0.061107,0.429564,,0.157744,0.143328,0.105744,0.182615,0.013859,0.447944,-0.164140,0.023225,0.180255,0.390353,-0.050393,0.433599,0.183960,0.424484,0.067089,,0.182376,0.181999,-0.525215,0.958853,0.430167,-0.164860,0.085274,-0.028014,0.007903,0.430202,0.177260,0.107327,0.107327,0.326768,-0.243915,-0.244247,-0.255051,-0.253918,-0.261635,-0.261662,0.412736,0.007111,0.031543,-0.014072,0.041218,0.051571,0.003500,0.143328
internal_nodes,0.458954,0.516541,-0.050039,-0.102470,0.178764,0.179221,0.089678,0.481430,0.459207,0.127137,0.521990,0.498759,0.512087,0.513958,0.387167,0.991824,-0.687674,0.084999,0.571020,,0.527334,0.534753,0.498712,0.184331,1.000000,-0.156946,0.562018,0.347545,,0.575893,0.507236,0.383295,0.328853,-0.021511,0.100888,0.507163,-0.069370,0.530028,0.545279,0.080300,0.580454,0.094220,0.004984,0.003123,0.524497,-0.012492,0.004435,0.005350,0.328925,0.328925,0.507888,,-0.085495,-0.100860,0.564212,0.991824,0.044374,0.459206,-0.159672,0.075895,0.972880,-0.185086,-0.175250,0.350024,0.999936,0.525324,0.194677,,0.988025,0.988111,0.162457,0.220440,0.507015,-0.159438,0.143469,0.015013,0.030692,0.507011,0.417820,0.557371,0.557371,0.464581,0.325920,0.325085,0.244479,0.242539,0.315067,0.316140,0.500830,-0.004818,-0.056827,-0.007928,0.007014,-0.041852,-0.003148,-0.100860
kendall_corr,-0.000555,-0.046182,-0.014091,-0.545757,-0.000526,0.000303,0.287438,-0.090972,-0.000571,-0.888069,-0.151906,-0.396416,-0.400960,-0.399422,0.034387,-0.152920,0.120389,-0.028723,-0.083214,,-0.068331,-0.047165,-0.029562,-0.161811,-0.156946,1.000000,0.099391,0.100872,,-0.078170,-0.167560,-0.061850,-0.043489,0.350765,-0.029711,-0.166508,-0.013398,-0.246085,-0.009846,-0.789325,-0.076868,-0.626601,0.046103,-0.008982,-0.000902,-0.056375,0.015464,-0.010584,-0.052574,-0.052574,-0.163920,,0.025459,0.038814,-0.086841,-0.152920,0.019584,-0.000584,0.998607,0.033139,-0.142784,0.048934,0.422199,-0.489520,-0.155997,-0.063042,-0.112114,,-0.158382,-0.157377,-0.000870,-0.131399,-0.166521,0.998858,-0.622719,0.031859,-0.016156,-0.166484,0.171690,-0.081472,-0.081472,-0.000400,0.001225,-0.000953,0.083113,0.067286,-0.000020,-0.000646,-0.051101,-0.019580,0.072287,0.027432,-0.001545,-0.011776,0.007076,0.038814
