cv_scheme,algorithm,response,model,r_squared_mean,r_squared_sd,r_squared_ci_lower,r_squared_ci_upper,adj_r_squared_mean,adj_r_squared_sd,adj_r_squared_ci_lower,adj_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,r_squared,adj_r_squared,rmse,mae
full_sample,DP,log_time_millis,M1,,,,,,,,,,,,,,,,,6000,42,0.9778372946137159,0.9776810358213333,0.35851397796128626,0.2711610879607478
full_sample,DP,log_time_millis,M2,,,,,,,,,,,,,,,,,6000,52,0.9791557282758836,0.9789734679547715,0.3476866929392307,0.26528069935010595
LOFO,DP,log_memory_mb,M1,-107.6028279058701,240.36008779567496,-406.04929552685564,190.84363971511542,-108.56169247850968,242.48224959668784,-409.6431720061762,192.5197870491568,6.829711205200691,11.747591662123988,-7.756850427257381,21.416272837658763,5.921626916533205,12.239947465724773,-9.276275191562648,21.11952902462906,6000,42,,,,
LOFO,DP,log_memory_mb,M2,-110.42727252683133,246.74866743133808,-416.80620948107753,195.95166442741484,-111.62415350805888,249.39908487847327,-421.294018386624,198.04571137050618,6.884724269821516,11.920919817626945,-7.9170526931996426,21.686501232842673,5.998897482293776,12.40129258705331,-9.399341054241539,21.39713601882909,6000,51,,,,
5-fold,DP,log_memory_mb,M1,0.005150857634473894,0.011179333123486037,-0.008730117828885553,0.01903183309783334,-0.0036327589262475702,0.011278036506119317,-0.017636290826323692,0.010370772973828551,1.4270705744509484,0.29065405009988926,1.0661759045098027,1.7879652443920941,0.2580096311108012,0.032597203800952,0.21753485670904824,0.29848440551255423,6000,42,,,,
5-fold,DP,log_memory_mb,M2,0.0020203857012932812,0.009294696433700634,-0.009520504234665715,0.013561275637252278,-0.008699277384055093,0.009394534158662473,-0.020364132228761773,0.0029655774606515885,1.4290745550704704,0.28954775451050785,1.0695535325340313,1.7885955776069096,0.26614138481483895,0.03289375366574225,0.2252983951223037,0.3069843745073742,6000,51,,,,
full_sample,DP,log_memory_mb,M1,,,,,,,,,,,,,,,,,6000,42,0.015122385402877137,0.00817847742686928,1.4415743459876478,0.25063074335222874
full_sample,DP,log_memory_mb,M2,,,,,,,,,,,,,,,,,6000,51,0.016286856898885205,0.007852194777473454,1.440721870157609,0.25790580453323264
LOFO,BandB,log_time_millis,M1,0.4804490149281161,0.11852192740668202,0.33328460466951904,0.6276134251867131,0.47586185046038026,0.11956836864088018,0.3273981117950434,0.6243255891257171,1.8566897608176014,0.7547318325800021,0.919566416004662,2.793813105630541,1.4146712759826627,0.5211583454110758,0.7675677211222881,2.0617748308430373,6000,42,,,,
LOFO,BandB,log_time_millis,M2,-0.17386316915096875,2.2203883009899865,-2.930839384523058,2.5831130462211207,-0.1902322731365939,2.251350825364662,-2.985653540318224,2.6051889940450366,1.9946716400888334,1.9787512256719948,-0.4622725182296543,4.451615798407321,0.8375360512494892,0.37270082439388297,0.3747668554987415,1.3003052470002368,6000,66,,,,
5-fold,BandB,log_time_millis,M1,0.7403397412096687,0.029969679357862176,0.7031274693133007,0.7775520131060367,0.7380471763853689,0.0302342844730672,0.7005063538437103,0.7755879989270275,1.559013478154443,0.07313582334909335,1.4682033593228834,1.6498235969860024,1.0920546699575282,0.03883452724070663,1.0438352355954794,1.140274104319577,6000,42,,,,
5-fold,BandB,log_time_millis,M2,0.34031697590706433,1.3769423603008226,-1.3693827804801828,2.0500167322943117,0.3311179309904926,1.3961433313086096,-1.402422979827678,2.0646588418086633,1.5511863424772812,2.0167071338734184,-0.9528863005740411,4.055258985528603,0.4410010409289559,0.06783260888806612,0.35677573256840756,0.5252263492895043,6000,66,,,,
full_sample,BandB,log_time_millis,M1,,,,,,,,,,,,,,,,,6000,42,0.7452431657060599,0.7434469953115079,1.5499651601794961,1.0843060111573297
full_sample,BandB,log_time_millis,M2,,,,,,,,,,,,,,,,,6000,66,0.9613432537002082,0.9609132275320326,0.6037701848748298,0.4020623141254408
LOFO,BandB,log_nodes_explored,M1,0.3912845513968162,0.11760705060850342,0.24525611072130946,0.537312992072323,0.3859101455020646,0.1186454143094824,0.2385924060020106,0.5332278850021186,2.095548425685327,1.2496064985611361,0.5439570245005005,3.6471398268701534,1.591446487375085,0.9231176174517124,0.44524457567765907,2.737648399072511,6000,42,,,,
LOFO,BandB,log_nodes_explored,M2,-0.4394801636214137,2.985027474645555,-4.145881312537899,3.266920985295071,-0.45893670648768004,3.0253742029195396,-4.2154349353472815,3.2975615223719217,1.5210111583623858,1.3744041299603351,-0.1855369687919297,3.2275592855167012,1.1802791260713654,1.3929382919923492,-0.5492822028149771,2.909840454957708,6000,64,,,,
5-fold,BandB,log_nodes_explored,M1,0.7320906516252629,0.03167935711975941,0.6927555344034175,0.7714257688471082,0.729725254813882,0.031959057140577146,0.6900428441458903,0.7694076654818736,1.633876074192088,0.08135259786048263,1.532863482268378,1.7348886661157978,1.1270731831799723,0.03804922292102702,1.0798288329193035,1.174317533440641,6000,42,,,,
5-fold,BandB,log_nodes_explored,M2,0.9778843858634824,0.005539199182543538,0.9710065616596383,0.9847622100673264,0.9775854630958506,0.005614069034218914,0.9706146756926304,0.9845562504990708,0.4670837242615332,0.06342534727508486,0.38833075397648914,0.5458366945465774,0.21913554826448953,0.009854471851672458,0.20689960534495544,0.23137149118402361,6000,64,,,,
full_sample,BandB,log_nodes_explored,M1,,,,,,,,,,,,,,,,,6000,42,0.7363733232627334,0.7345146157886752,1.6262983139076908,1.1200357588102787
full_sample,BandB,log_nodes_explored,M2,,,,,,,,,,,,,,,,,6000,64,0.9795223141222497,0.9793014932467355,0.45325851608362255,0.21510725008314477
